date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:03	15809/15809	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:16%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=ContractDetails	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataa175.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:04	16193/16193	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:15%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=Contracts	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata8f2d.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:05	15413/15413	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:17%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=EAVDetails	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatad7ef.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:05	15414/15414	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:17%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=EAVs	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata0c46.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:06	14501/14501	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:18%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=EventPhoto	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatade21.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:07	19274/19274	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:17%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=Events	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataecdc.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:07	18877/18877	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:21%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=EventsBatch	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataa580.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:08	15813/15813	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:20%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=EventsCount	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata3fac.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:08	14409/14409	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:22%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=EventsDelete	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatad48e.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:09	14826/14826	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:21%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=EventsForTypePendingBatch	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata3176.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:10	16835/16835	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:21%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=EventsGeneralBatch	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatade5d.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:10	14388/14388	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:22%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=EventsOld	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata5217.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:11	14792/14792	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:25%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=EventsPending	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatad2e0.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:12	14795/14795	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:23%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=EventsPendingBatch	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata4f3b.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:12	14882/14882	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:25%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayActivate	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata562b.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:13	15357/15357	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:25%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayActuatorToggle	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata0856.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:14	16639/16639	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:25%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayAddCamera	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataa965.html	(from http://greencom.azurewebsites.net/api/metadata)
